CIN,COMPANY_NAME,CHANGE_TYPE,FIELD_CHANGED,OLD_VALUE,NEW_VALUE,DATE,STATE,STATUS
U82150MH2024PTC195920,TEST COMPANY 0_0 PRIVATE LIMITED,NEW_INCORPORATION,ALL,,INCORPORATED,20251019,Maharashtra,Active
U60555MH2024PTC795107,TEST COMPANY 0_1 PRIVATE LIMITED,NEW_INCORPORATION,ALL,,INCORPORATED,20251019,Gujarat,Active
U24652MH2024PTC418036,TEST COMPANY 0_2 PRIVATE LIMITED,NEW_INCORPORATION,ALL,,INCORPORATED,20251019,Delhi,Active
U37155MH2024PTC516002,TEST COMPANY 0_3 PRIVATE LIMITED,NEW_INCORPORATION,ALL,,INCORPORATED,20251019,Gujarat,Active
U50041MH2024PTC745753,TEST COMPANY 0_4 PRIVATE LIMITED,NEW_INCORPORATION,ALL,,INCORPORATED,20251019,Maharashtra,Active
U30883MH2024PTC300907,TEST COMPANY 0_5 PRIVATE LIMITED,NEW_INCORPORATION,ALL,,INCORPORATED,20251019,Gujarat,Active
U49818MH2024PTC206367,TEST COMPANY 0_6 PRIVATE LIMITED,NEW_INCORPORATION,ALL,,INCORPORATED,20251019,Gujarat,Active
U17905MH2024PTC240205,TEST COMPANY 0_7 PRIVATE LIMITED,NEW_INCORPORATION,ALL,,INCORPORATED,20251019,Maharashtra,Active
U18167MH2024PTC439733,TEST COMPANY 0_8 PRIVATE LIMITED,NEW_INCORPORATION,ALL,,INCORPORATED,20251019,Gujarat,Active
L36102DL2015PTC738696,FOODS CHEMICALS EXPORTS PRIVATE LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,24553563,24553563.0,20251019,,
L36102DL2015PTC738696,FOODS CHEMICALS EXPORTS PRIVATE LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,23601442,23601442.0,20251019,,
L20553GJ2003OPC235491,DEVELOPERS SYSTEMS LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,18112884,18112884.0,20251019,,
L20553GJ2003OPC235491,DEVELOPERS SYSTEMS LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,2814558,2814558.0,20251019,,
L57207TN2021PTC521869,INDUSTRIES DEVELOPERS EXPORTS LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,28701090,28701090.0,20251019,,
L57207TN2021PTC521869,INDUSTRIES DEVELOPERS EXPORTS LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,4679622,4679622.0,20251019,,
L27449DL2000PLC399402,IMPORTS PHARMA LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,42798648,42798648.0,20251019,,
L27449DL2000PLC399402,IMPORTS PHARMA LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,6191891,6191891.0,20251019,,
L42804MH2020PTC208344,FOODS CONSULTANCY INNOVATIONS PRIVATE LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,45577751,45577751.0,20251019,,
L42804MH2020PTC208344,FOODS CONSULTANCY INNOVATIONS PRIVATE LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,13304382,13304382.0,20251019,,
L96713KA2006PTC452726,INNOVATIONS MANUFACTURING PRIVATE LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,6250780,6250780.0,20251019,,
L96713KA2006PTC452726,INNOVATIONS MANUFACTURING PRIVATE LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,18480487,18480487.0,20251019,,
L14763KA2001PTC870287,ENTERPRISES PRIVATE LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,25622174,25622174.0,20251019,,
L14763KA2001PTC870287,ENTERPRISES PRIVATE LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,23194334,23194334.0,20251019,,
U71953DL2020OPC541521,EDUCATION FINANCE CHEMICALS OPC PRIVATE LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,444444,444444.0,20251019,,
U71953DL2020OPC541521,EDUCATION FINANCE CHEMICALS OPC PRIVATE LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,6033908,6033908.0,20251019,,
U88393GJ2004OPC882561,PHARMA PRIVATE LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,26562580,26562580.0,20251019,,
U88393GJ2004OPC882561,PHARMA PRIVATE LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,23179734,23179734.0,20251019,,
L89203KA2003OPC305330,TRADING INDUSTRIES LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,33411454,33411454.0,20251019,,
L89203KA2003OPC305330,TRADING INDUSTRIES LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,24774830,24774830.0,20251019,,
U39974DL2011PTC270525,CONSULTANCY INNOVATIONS PRIVATE LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,49493374,49493374.0,20251019,,
U39974DL2011PTC270525,CONSULTANCY INNOVATIONS PRIVATE LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,9725471,9725471.0,20251019,,
L57823DL2023OPC932856,SERVICES TRADING INDUSTRIES OPC PRIVATE LIMITED,FIELD_UPDATE,AUTHORIZED_CAPITAL,9288420,9288420.0,20251019,,
L57823DL2023OPC932856,SERVICES TRADING INDUSTRIES OPC PRIVATE LIMITED,FIELD_UPDATE,PAIDUP_CAPITAL,14908813,14908813.0,20251019,,
